tracker_id,solo_KillDeathRatio,solo_WinRatio,solo_RoundsPlayed,solo_Wins,solo_WinTop10Ratio,solo_Top10s,solo_Top10Ratio,solo_Losses,solo_DamagePg,solo_HeadshotKillsPg,solo_HealsPg,solo_KillsPg,solo_MoveDistancePg,solo_TimeSurvivedPg,solo_Top10sPg,solo_Kills,solo_Assists,solo_HeadshotKillRatio,solo_AvgSurvivalTime
157005,0.8,0.18,568,1,0.04,26,4.6,567,105.22,0.13,0.69,0.8,1053.56,645.5,0.05,454,23,0.16,645.5
121734,0.66,0.35,568,2,0.05,33,5.8,566,83.68,0.14,0.62,0.66,1520.2,661.24,0.06,373,21,0.22,750.15
90912,0.91,1.06,568,6,0.11,88,15.5,562,111.62,0.16,1.46,0.9,2419.89,867.85,0.15,510,28,0.18,973.21
78559,0.9,0.88,568,5,0.17,30,5.3,563,110.1,0.13,0.93,0.9,1203.55,549.09,0.05,509,39,0.14,549.09
19608,1.74,1.59,567,9,0.21,49,8.6,558,207.94,0.38,1.41,1.72,2316.6,704.1,0.09,973,54,0.22,786.65
101705,0.88,0.71,567,4,0.52,61,10.8,563,105.62,0.2,1.36,0.87,2322.35,854.53,0.11,493,27,0.24,1390.58
12493,3.82,14.49,566,82,0.66,250,44.2,484,358.48,0.82,3.08,3.27,5177.31,1374.69,0.44,1849,71,0.25,1614.14
45703,1.61,3.36,566,19,0.08,125,22.1,547,195.61,0.35,2.33,1.55,3598.69,1068.15,0.22,879,59,0.22,1003.88
214889,1.1,0.35,566,2,0.02,54,9.5,564,136.78,0.3,1.47,1.09,1907.23,745.93,0.1,618,38,0.28,763.33
149592,0.92,1.41,566,8,0.15,63,11.1,558,116.57,0.17,1.02,0.91,2399.18,879.89,0.11,513,48,0.19,907.18
113942,0.96,0.35,566,2,0.05,39,6.9,564,119.65,0.16,1.2,0.95,1495.55,621.84,0.07,539,43,0.16,608.62
108838,0.66,0.53,565,3,0.08,38,6.7,562,88.93,0.16,0.86,0.66,1639.89,681.46,0.07,371,32,0.24,681.46
207702,0.95,0.71,565,4,0.05,44,7.8,561,122.51,0.13,0.7,0.94,1092.27,599.26,0.08,531,43,0.14,685.69
198251,0.7,0.71,565,4,0.07,77,13.6,561,89.8,0.18,0.81,0.69,2577.41,805.25,0.14,392,27,0.26,716.06
197627,0.71,0.35,564,2,0.02,28,5,562,90.23,0.16,0.81,0.71,1701.4,592.88,0.05,400,29,0.22,319.64
199850,0.36,0.35,564,2,0.03,76,13.5,562,53.1,0.06,1.2,0.36,3212.9,919.06,0.13,203,28,0.17,919.06
145495,1.05,1.24,563,7,0.26,56,9.9,556,122.5,0.3,1.7,1.04,2782.68,819.5,0.1,583,21,0.29,791.11
49820,3,3.56,562,20,0.36,61,10.9,542,328.36,0.69,1.85,2.89,2385.89,707.28,0.11,1625,50,0.24,1082.99
88959,0.81,0.18,562,1,0.01,36,6.4,561,106.74,0.2,0.8,0.81,1798.23,667.6,0.06,456,31,0.24,983.18
67420,0.64,1.42,562,8,0.05,112,19.9,554,75.87,0.11,1.76,0.63,2722.62,941.98,0.2,355,26,0.17,592.57
176602,1.85,9.45,561,53,0.11,233,41.5,508,205.53,0.28,1.86,1.67,6543.32,1347.12,0.42,939,66,0.17,1458.28
169239,1.31,1.6,561,9,0.13,49,8.7,552,154.17,0.26,1.29,1.29,2229.89,740.68,0.09,722,27,0.2,1012.79
185784,0.49,0.71,561,4,0.06,69,12.3,557,71.84,0.09,1.34,0.49,1873.61,861.57,0.12,274,32,0.19,861.57
3627,2.9,3.93,560,22,0.21,76,13.6,538,322.69,0.78,2.12,2.79,2763.81,866.18,0.14,1562,77,0.28,1214.27
168821,0.37,0,559,0,0,37,6.6,559,49.04,0.1,0.82,0.37,1723.22,854.69,0.07,206,13,0.28,854.69
158470,1,0.89,559,5,0.03,64,11.4,554,125.04,0.16,0.52,0.99,2123.36,794.78,0.11,552,26,0.16,578.19
48606,0.46,0.18,559,1,0,65,11.6,558,61.69,0.08,1.35,0.46,2255.77,888.18,0.12,259,23,0.17,991.43
164634,0.91,0.54,559,3,0.08,51,9.1,556,115.55,0.24,1.05,0.9,1700.16,728.11,0.09,505,48,0.27,753.96
113094,0.65,0.54,559,3,0.09,33,5.9,556,88.64,0.14,1.13,0.64,1896.38,727.93,0.06,359,27,0.22,727.93
1762,1.37,1.08,558,6,0.06,35,6.3,552,154.77,0.17,1.13,1.36,1200.34,487.69,0.06,757,39,0.12,625.74
81462,1.4,1.43,558,8,0.2,54,9.7,550,170.9,0.36,1.62,1.38,2422.44,758.57,0.1,772,36,0.26,828.39
27569,1.13,1.26,557,7,0.08,84,15.1,550,140.28,0.16,1.26,1.11,2552.2,878.14,0.15,621,71,0.14,878.14
51124,1.52,5.39,557,30,0.2,150,26.9,527,169.58,0.23,1.47,1.43,4388.87,1097.52,0.27,799,62,0.16,1097.52
103640,0.63,0.18,557,1,0.01,30,5.4,556,78.9,0.12,0.9,0.63,1902.13,721.83,0.05,350,22,0.19,738.8
59265,0.45,0.72,557,4,0.03,70,12.6,553,64.01,0.07,0.93,0.45,2537.2,961.03,0.13,250,28,0.16,696.68
120019,0.53,0.72,556,4,0.03,51,9.2,552,67.18,0.11,1.01,0.53,2520.5,755.59,0.09,294,18,0.2,780.63
63900,0.62,0.72,556,4,0.06,57,10.3,552,83.8,0.13,2.12,0.62,1742.33,879.15,0.1,342,40,0.22,864.44
22773,0.66,1.8,556,10,0.01,126,22.7,546,89.35,0.16,6.1,0.64,4716.02,1141.9,0.23,358,35,0.25,1093.7
107924,1.24,0.18,555,1,0.04,23,4.1,554,149.35,0.19,1.32,1.24,1173.32,710.13,0.04,686,31,0.16,710.13
181942,0.83,0.18,555,1,0.03,39,7,554,112.79,0.21,0.82,0.83,1424.11,584.7,0.07,462,34,0.25,584.7
29233,0.67,0.54,555,3,0.04,64,11.5,552,86.35,0.14,0.98,0.67,2308.41,777.15,0.12,370,24,0.21,843.43
